,column_i,column_j,solution_value
0,1,1,7.0
1,1,2,19.0
2,1,3,2.0
3,1,4,16.0
4,1,5,11.0
5,2,1,-0.0
6,2,2,1.0
7,2,3,-0.0
8,2,4,3.0
9,2,5,10.0
10,3,1,16.0
11,3,2,5.0
12,3,3,15.0
13,3,4,20.0
14,3,5,17.0
15,4,1,13.0
16,4,2,19.0
17,4,3,15.0
18,4,4,5.0
19,4,5,20.0
20,5,1,7.0
21,5,2,10.0
22,5,3,12.0
23,5,4,20.0
24,5,5,2.0
25,6,1,8.0
26,6,2,5.0
27,6,3,8.0
28,6,4,6.0
29,6,5,19.0
30,7,1,12.0
31,7,2,5.0
32,7,3,17.0
33,7,4,20.0
34,7,5,12.0
35,8,1,4.0
36,8,2,10.0
37,8,3,5.0
38,8,4,3.0
39,8,5,4.0
40,9,1,1.0
41,9,2,2.0
42,9,3,1.0
43,9,4,12.0
44,9,5,16.0
45,10,1,8.0
46,10,2,14.0
47,10,3,16.0
48,10,4,-0.0
49,10,5,7.0
